Step,"field=3,degree=1",,,"field=3,degree=2",,,"field=3,degree=3",,,"field=3,degree=4",,,"field=3,degree=5",,,"field=3,degree=6",,
178,1.904368401,,,1.782108784,,,1.842665434,,,1.932883143,,,2.016697884,,,2.169778109,,
179,1.859085083,,,2.121137381,,,1.784162283,,,1.98589921,,,1.952278733,,,1.707112551,,
180,1.887671828,,,1.819003344,,,1.531282902,,,1.645215988,,,1.558190465,,,1.511722922,,
181,1.93173933,,,2.275535583,,,2.216606379,,,1.970472455,,,1.987183452,,,2.11582303,,
182,2.458054304,,,2.582713127,,,2.316987276,,,3.116188288,,,2.417421818,,,2.930776119,,
183,2.464156866,,,3.062263489,,,2.644096613,,,3.436635971,,,2.922631264,,,3.469115257,,
184,2.432137012,,,2.753663301,,,2.52001667,,,2.91454649,,,3.215067863,,,3.327608109,,
185,2.927393675,,,3.193668127,,,2.780416012,,,2.639167786,,,2.833186626,,,2.792216778,,
186,2.30670929,,,2.038138151,,,1.727214456,,,1.636111259,,,1.646290302,,,1.621453047,,
187,2.314835072,,,1.903336287,,,1.824027777,,,1.908477426,,,2.000591993,,,2.353110075,,
188,1.940478325,,,1.96487534,,,1.913630724,,,2.054933786,,,2.06690383,,,2.434184551,,
189,1.843732715,,,1.976970196,,,1.904931784,,,1.973225355,,,2.249436378,,,2.016736984,,
190,1.774231076,,,1.819113255,,,1.557374001,,,1.747238636,,,1.543879628,,,1.650025606,,
191,1.411875248,,,1.396250486,,,1.27400744,,,1.21095264,,,1.202570558,,,1.232249856,,
192,1.502806425,,,1.494074464,,,1.356006742,,,1.202548504,,,1.158196449,,,1.357900381,,
193,1.228760123,,,1.234712362,,,1.293210268,,,1.111836195,,,1.198793411,,,1.118834019,,
194,1.368122816,,,1.309233785,,,1.186015725,,,1.295490503,,,1.158004045,,,1.205763698,,
195,1.289127827,,,1.218767762,,,1.039582968,,,1.042091966,,,0.900621653,,,0.970769525,,
196,1.061217546,,,0.990321398,,,0.829418302,,,0.82738328,,,0.611720324,,,0.55304724,,
197,1.04353857,,,1.018011093,,,0.848296225,,,0.805497229,,,0.748026013,,,0.692013919,,
198,1.182180166,,,1.079297543,,,1.033843994,,,0.92554307,,,0.937658191,,,0.907937407,,
199,1.162940979,,,0.927399158,,,1.206347227,,,0.923859239,,,0.930294573,,,0.859124303,,
200,1.093884706,,,0.777151585,,,0.735287845,,,0.727388024,,,0.653128207,,,0.5367347,,
201,0.990896463,,,0.545691371,,,0.532233834,,,0.249993652,,,0.270720333,,,0,,
202,1.176984429,,,0.679663181,,,0.628283739,,,0.542724848,,,0.512991667,,,0.389939904,,
203,1.408394933,,,0.813479304,,,0.842200041,,,0.70946759,,,0.696947336,,,0.67995435,,
204,1.319426656,,,0.982563794,,,0.858224392,,,0.745536685,,,0.898628235,,,0.800597966,,
205,1.260729909,,,0.89850378,,,0.991538763,,,0.804962993,,,0.677313626,,,0.756934226,,
